,Date,Home,Away,DidHomeWin
1305,2015-11-29,Charlotte,Milwaukee,True
1306,2015-11-29,LA Clippers,Minnesota,True
1307,2015-11-29,Brooklyn,Detroit,True
1308,2015-11-29,Memphis,Philadelphia,True
1309,2015-11-29,Orlando,Boston,True
1310,2015-11-29,Toronto,Phoenix,False
1311,2015-11-29,New York,Houston,False
1312,2015-11-29,LA Lakers,Indiana,False
1313,2015-11-30,Detroit,Houston,True
1314,2015-11-30,Miami,Boston,False
1315,2015-11-30,Atlanta,Okla City,True
1316,2015-11-30,Chicago,San Antonio,True
1317,2015-11-30,Milwaukee,Denver,True
1318,2015-11-30,Utah,Golden State,False
1319,2015-11-30,Sacramento,Dallas,True
1320,2015-11-30,LA Clippers,Portland,True
1321,2014-12-01,Philadelphia,San Antonio,False
1322,2014-12-01,Washington,Miami,True
1323,2014-12-01,Utah,Denver,False
1324,2014-12-01,LA Clippers,Minnesota,True
1325,2014-12-02,Cleveland,Milwaukee,True
1326,2014-12-02,Atlanta,Boston,True
1327,2014-12-02,Detroit,LA Lakers,False
1328,2014-12-02,New York,Brooklyn,False
1329,2014-12-02,Chicago,Dallas,False
1330,2014-12-02,New Orleans,Okla City,True
1331,2014-12-02,Denver,Portland,False
1332,2014-12-02,Phoenix,Indiana,True
1333,2014-12-02,Sacramento,Toronto,False
1334,2014-12-02,Golden State,Orlando,True
1335,2014-12-03,Charlotte,Chicago,False
1336,2014-12-03,Washington,LA Lakers,True
1337,2014-12-03,Boston,Detroit,True
1338,2014-12-03,Brooklyn,San Antonio,True
1339,2014-12-03,Miami,Atlanta,False
1340,2014-12-03,Houston,Memphis,True
1341,2014-12-03,Milwaukee,Dallas,False
1342,2014-12-03,Minnesota,Philadelphia,False
1343,2014-12-03,Utah,Toronto,False
1344,2014-12-03,LA Clippers,Orlando,True
1345,2014-12-04,New York,Cleveland,False
1346,2014-12-04,Portland,Indiana,True
1347,2014-12-04,Golden State,New Orleans,True
1348,2014-12-05,Charlotte,New York,True
1349,2014-12-05,Philadelphia,Okla City,False
1350,2014-12-05,Washington,Denver,True
1351,2014-12-05,Boston,LA Lakers,True
1352,2014-12-05,Brooklyn,Atlanta,False
1353,2014-12-05,Toronto,Cleveland,False
1354,2014-12-05,Memphis,San Antonio,False
1355,2014-12-05,Minnesota,Houston,False
1356,2014-12-05,Dallas,Phoenix,False
1357,2014-12-05,Milwaukee,Miami,True
1358,2014-12-05,Utah,Orlando,False
1359,2014-12-05,Sacramento,Indiana,True
1360,2014-12-06,Detroit,Philadelphia,False
1361,2014-12-06,Chicago,Golden State,False
1362,2014-12-06,Houston,Phoenix,True
1363,2014-12-06,San Antonio,Minnesota,True
1364,2014-12-06,Sacramento,Orlando,False
1365,2014-12-06,LA Clippers,New Orleans,True
1366,2014-12-07,Boston,Washington,True
1367,2014-12-07,Atlanta,Denver,True
1368,2014-12-07,Detroit,Okla City,False
1369,2014-12-07,Memphis,Miami,True
1370,2014-12-07,Dallas,Milwaukee,True
1371,2014-12-07,New York,Portland,False
1372,2014-12-07,LA Lakers,New Orleans,False
1373,2014-12-08,Indiana,Atlanta,False
1374,2014-12-08,Washington,Boston,True
1375,2014-12-08,Brooklyn,Cleveland,False
1376,2014-12-08,Toronto,Denver,True
1377,2014-12-08,Minnesota,Golden State,False
1378,2014-12-08,Sacramento,Utah,True
1379,2014-12-08,LA Clippers,Phoenix,True
1380,2014-12-09,Cleveland,Toronto,True
1381,2014-12-09,Detroit,Portland,False
1382,2014-12-09,Memphis,Dallas,True
1383,2014-12-09,New Orleans,New York,True
1384,2014-12-09,Okla City,Milwaukee,True
1385,2014-12-09,Phoenix,Miami,False
1386,2014-12-09,Utah,San Antonio,True
1387,2014-12-09,LA Lakers,Sacramento,True
1388,2014-12-10,Charlotte,Boston,True
1389,2014-12-10,Indiana,LA Clippers,False
1390,2014-12-10,Orlando,Washington,False
1391,2014-12-10,Atlanta,Philadelphia,True
1392,2014-12-10,Chicago,Brooklyn,True
1393,2014-12-10,Dallas,New Orleans,True
1394,2014-12-10,Minnesota,Portland,True
1395,2014-12-10,San Antonio,New York,True
1396,2014-12-10,Denver,Miami,True
1397,2014-12-10,Golden State,Houston,True
1398,2014-12-11,Okla City,Cleveland,True
1399,2014-12-11,Sacramento,Houston,False
1400,2014-12-12,Chicago,Portland,True
1401,2014-12-12,Washington,LA Clippers,True
1402,2014-12-12,Atlanta,Orlando,True
1403,2014-12-12,Boston,New York,False
1404,2014-12-12,Brooklyn,Philadelphia,True
1405,2014-12-12,Toronto,Indiana,True
1406,2014-12-12,Memphis,Charlotte,True
1407,2014-12-12,Minnesota,Okla City,False
1408,2014-12-12,New Orleans,Cleveland,True
1409,2014-12-12,Phoenix,Detroit,False
1410,2014-12-12,Utah,Miami,False
1411,2014-12-12,San Antonio,LA Lakers,False
1412,2014-12-13,Dallas,Golden State,False
1413,2014-12-13,Charlotte,Brooklyn,False
1414,2014-12-13,Indiana,Portland,False
1415,2014-12-13,Orlando,Atlanta,True
1416,2014-12-13,Milwaukee,LA Clippers,True
1417,2014-12-13,Philadelphia,Memphis,False
1418,2014-12-13,Houston,Denver,True
1419,2014-12-13,Sacramento,Detroit,False
1420,2014-12-14,Miami,Chicago,False
1421,2014-12-14,New Orleans,Golden State,False
1422,2014-12-14,Washington,Utah,True
1423,2014-12-14,Minnesota,LA Lakers,False
1424,2014-12-14,Okla City,Phoenix,True
1425,2014-12-14,New York,Toronto,False
1426,2014-12-14,Denver,San Antonio,False
1427,2014-12-15,Cleveland,Charlotte,True
1428,2014-12-15,Indiana,LA Lakers,True
1429,2014-12-15,Philadelphia,Boston,False
1430,2014-12-15,Atlanta,Chicago,True
1431,2014-12-15,Toronto,Orlando,True
1432,2014-12-15,Phoenix,Milwaukee,False
1433,2014-12-15,Portland,San Antonio,True
1434,2014-12-15,LA Clippers,Detroit,True
1435,2014-12-16,Washington,Minnesota,True
1436,2014-12-16,Brooklyn,Miami,False
1437,2014-12-16,Memphis,Golden State,True
1438,2014-12-16,New Orleans,Utah,True
1439,2014-12-16,New York,Dallas,False
1440,2014-12-16,Sacramento,Okla City,False
1441,2014-12-17,Charlotte,Phoenix,False
1442,2014-12-17,Cleveland,Atlanta,False
1443,2014-12-17,Boston,Orlando,True
1444,2014-12-17,Detroit,Dallas,False
1445,2014-12-17,Miami,Utah,False
1446,2014-12-17,Toronto,Brooklyn,True
1447,2014-12-17,San Antonio,Memphis,False
1448,2014-12-17,Portland,Milwaukee,True
1449,2014-12-17,Denver,Houston,False
1450,2014-12-17,LA Clippers,Indiana,True
1451,2014-12-18,Chicago,New York,True
1452,2014-12-18,Houston,New Orleans,False
1453,2014-12-18,Sacramento,Milwaukee,False
1454,2014-12-18,Golden State,Okla City,True
1455,2014-12-19,Orlando,Utah,False
1456,2014-12-19,Philadelphia,Charlotte,False
1457,2014-12-19,Boston,Minnesota,True
1458,2014-12-19,Cleveland,Brooklyn,True
1459,2014-12-19,Detroit,Toronto,False
1460,2014-12-19,Miami,Washington,False
1461,2014-12-19,Memphis,Chicago,False
1462,2014-12-19,San Antonio,Portland,False
1463,2014-12-19,Denver,LA Clippers,True
1464,2014-12-19,LA Lakers,Okla City,False
1465,2014-12-20,New York,Phoenix,False
1466,2014-12-20,Charlotte,Utah,True
1467,2014-12-20,New Orleans,Portland,False
1468,2014-12-20,Houston,Atlanta,False
1469,2014-12-20,Dallas,San Antonio,True
1470,2014-12-20,Denver,Indiana,True
1471,2014-12-20,LA Clippers,Milwaukee,True
1472,2014-12-21,Toronto,New York,True
1473,2014-12-21,Cleveland,Memphis,True
1474,2014-12-21,Brooklyn,Detroit,True
1475,2014-12-21,Miami,Boston,True
1476,2014-12-21,Orlando,Philadelphia,False
1477,2014-12-21,Sacramento,LA Lakers,True
1478,2014-12-21,Washington,Phoenix,False
1479,2014-12-21,Minnesota,Indiana,False
1480,2014-12-21,Okla City,New Orleans,False
1481,2014-12-22,Charlotte,Denver,True
1482,2014-12-22,Chicago,Toronto,True
1483,2014-12-22,Houston,Portland,True
1484,2014-12-22,Memphis,Utah,False
1485,2014-12-22,Dallas,Atlanta,False
1486,2014-12-22,San Antonio,LA Clippers,True
1487,2014-12-22,Golden State,Sacramento,True
1488,2014-12-23,Cleveland,Minnesota,True
1489,2014-12-23,Indiana,New Orleans,True
1490,2014-12-23,Orlando,Boston,True
1491,2014-12-23,Washington,Chicago,False
1492,2014-12-23,Atlanta,LA Clippers,True
1493,2014-12-23,Brooklyn,Denver,True
1494,2014-12-23,Miami,Philadelphia,False
1495,2014-12-23,Milwaukee,Charlotte,False
1496,2014-12-23,Okla City,Portland,False
1497,2014-12-23,Phoenix,Dallas,True
1498,2014-12-23,LA Lakers,Golden State,True
1499,2014-12-25,New York,Washington,False
1500,2014-12-25,San Antonio,Okla City,False
1501,2014-12-25,Miami,Cleveland,True
1502,2014-12-25,Chicago,LA Lakers,True
1503,2014-12-25,LA Clippers,Golden State,True
1504,2014-12-26,Boston,Brooklyn,False
1505,2014-12-26,Orlando,Cleveland,False
1506,2014-12-26,Atlanta,Milwaukee,False
1507,2014-12-26,Detroit,Indiana,True
1508,2014-12-26,Memphis,Houston,False
1509,2014-12-26,New Orleans,San Antonio,True
1510,2014-12-26,Okla City,Charlotte,True
1511,2014-12-26,Dallas,LA Lakers,True
1512,2014-12-26,Denver,Minnesota,True
1513,2014-12-26,Portland,Philadelphia,True
1514,2014-12-26,Sacramento,Phoenix,False
1515,2014-12-27,LA Clippers,Toronto,False
1516,2014-12-27,Charlotte,Orlando,False
1517,2014-12-27,Washington,Boston,True
1518,2014-12-27,Miami,Memphis,False
1519,2014-12-27,Brooklyn,Indiana,False
1520,2014-12-27,Chicago,New Orleans,True
1521,2014-12-27,Milwaukee,Atlanta,False
1522,2014-12-27,Utah,Philadelphia,True
1523,2014-12-27,Sacramento,New York,True
1524,2014-12-27,Golden State,Minnesota,True
1525,2014-12-28,Cleveland,Detroit,False
1526,2014-12-28,San Antonio,Houston,True
1527,2014-12-28,Dallas,Okla City,True
1528,2014-12-28,Denver,Toronto,False
1529,2014-12-28,Portland,New York,True
1530,2014-12-28,LA Lakers,Phoenix,False
1531,2014-12-29,Charlotte,Milwaukee,False
1532,2014-12-29,Indiana,Chicago,False
1533,2014-12-29,Brooklyn,Sacramento,True
1534,2014-12-29,Miami,Orlando,False
1535,2014-12-29,Houston,Washington,False
1536,2014-12-29,LA Clippers,Utah,True
1537,2014-12-30,Orlando,Detroit,False
1538,2014-12-30,Atlanta,Cleveland,True
1539,2014-12-30,Chicago,Brooklyn,False
1540,2014-12-30,Memphis,San Antonio,True
1541,2014-12-30,New Orleans,Phoenix,True
1542,2014-12-30,Dallas,Washington,True
1543,2014-12-30,Denver,LA Lakers,False
1544,2014-12-30,Utah,Minnesota,True
1545,2014-12-30,Portland,Toronto,True
1546,2014-12-30,Golden State,Philadelphia,True
1547,2014-12-31,Boston,Sacramento,True
1548,2014-12-31,Indiana,Miami,True
1549,2014-12-31,LA Clippers,New York,True
1550,2014-12-31,Cleveland,Milwaukee,False
1551,2014-12-31,Houston,Charlotte,True
1552,2014-12-31,San Antonio,New Orleans,True
1553,2014-12-31,Okla City,Phoenix,True
1554,2019-12-01,Brooklyn,Miami,False
1555,2019-12-01,Minnesota,Memphis,False
1556,2019-12-01,New York,Boston,False
1557,2019-12-01,LA Lakers,Dallas,False
1558,2019-12-01,Detroit,San Antonio,True
1559,2019-12-01,New Orleans,Okla City,False
1560,2019-12-01,Orlando,Golden State,True
1561,2019-12-01,Toronto,Utah,True
1562,2019-12-01,LA Clippers,Washington,True
1563,2019-12-02,Charlotte,Phoenix,False
1564,2019-12-02,Philadelphia,Utah,True
1565,2019-12-02,Atlanta,Golden State,True
1566,2019-12-02,Memphis,Indiana,False
1567,2019-12-02,Milwaukee,New York,True
1568,2019-12-02,Sacramento,Chicago,False
1569,2019-12-03,Cleveland,Detroit,False
1570,2019-12-03,Washington,Orlando,False
1571,2019-12-03,New Orleans,Dallas,False
1572,2019-12-03,Toronto,Miami,False
1573,2019-12-03,San Antonio,Houston,True
1574,2019-12-03,Denver,LA Lakers,False
1575,2019-12-03,LA Clippers,Portland,True
1576,2019-12-04,Charlotte,Golden State,True
1577,2019-12-04,Detroit,Milwaukee,False
1578,2019-12-04,Orlando,Phoenix,True
1579,2019-12-04,Atlanta,Brooklyn,False
1580,2019-12-04,Boston,Miami,True
1581,2019-12-04,Chicago,Memphis,True
1582,2019-12-04,Okla City,Indiana,False
1583,2019-12-04,Dallas,Minnesota,True
1584,2019-12-04,Utah,LA Lakers,False
1585,2019-12-04,Portland,Sacramento,True
1586,2019-12-05,Washington,Philadelphia,True
1587,2019-12-05,New York,Denver,False
1588,2019-12-05,Toronto,Houston,False
1589,2019-12-05,New Orleans,Phoenix,False
1590,2019-12-06,Charlotte,Brooklyn,False
1591,2019-12-06,Cleveland,Orlando,False
1592,2019-12-06,Detroit,Indiana,True
1593,2019-12-06,Boston,Denver,True
1594,2019-12-06,Chicago,Golden State,False
1595,2019-12-06,Miami,Washington,True
1596,2019-12-06,Okla City,Minnesota,True
1597,2019-12-06,Milwaukee,LA Clippers,True
1598,2019-12-06,San Antonio,Sacramento,True
1599,2019-12-06,Portland,LA Lakers,False
1600,2019-12-07,Dallas,New Orleans,True
1601,2019-12-07,New York,Indiana,False
1602,2019-12-07,Philadelphia,Cleveland,True
1603,2019-12-07,Houston,Phoenix,True
1604,2019-12-07,Utah,Memphis,True
1605,2019-12-08,Brooklyn,Denver,True
1606,2019-12-08,Charlotte,Atlanta,False
1607,2019-12-08,Miami,Chicago,True
1608,2019-12-08,Philadelphia,Toronto,True
1609,2019-12-08,Washington,LA Clippers,False
1610,2019-12-08,Dallas,Sacramento,False
1611,2019-12-08,Portland,Okla City,False
1612,2019-12-08,LA Lakers,Minnesota,True
1613,2019-12-09,Indiana,LA Clippers,False
1614,2019-12-09,Boston,Cleveland,True
1615,2019-12-09,Chicago,Toronto,False
1616,2019-12-09,Houston,Sacramento,False
1617,2019-12-09,Milwaukee,Orlando,True
1618,2019-12-09,New Orleans,Detroit,False
1619,2019-12-09,Phoenix,Minnesota,True
1620,2019-12-09,Utah,Okla City,False
1621,2019-12-09,Golden State,Memphis,False
1622,2019-12-10,Charlotte,Washington,True
1623,2019-12-10,Miami,Atlanta,True
1624,2019-12-10,Philadelphia,Denver,True
1625,2019-12-10,Portland,New York,True
1626,2019-12-11,Cleveland,Houston,False
1627,2019-12-11,Indiana,Boston,True
1628,2019-12-11,Orlando,LA Lakers,False
1629,2019-12-11,Toronto,LA Clippers,False
1630,2019-12-11,Brooklyn,Charlotte,False
1631,2019-12-11,Chicago,Atlanta,True
1632,2019-12-11,Minnesota,Utah,False
1633,2019-12-11,Phoenix,Memphis,False
1634,2019-12-11,Milwaukee,New Orleans,True
1635,2019-12-11,Sacramento,Okla City,True
1636,2019-12-11,Golden State,New York,False
1637,2019-12-12,Boston,Philadelphia,False
1638,2019-12-12,San Antonio,Cleveland,False
1639,2019-12-12,Detroit,Dallas,False
1640,2019-12-12,Denver,Portland,True
1641,2019-12-13,Miami,LA Lakers,False
1642,2019-12-13,Orlando,Houston,False
1643,2019-12-13,Philadelphia,New Orleans,True
1644,2019-12-13,Atlanta,Indiana,False
1645,2019-12-13,Chicago,Charlotte,False
1646,2019-12-13,Memphis,Milwaukee,False
1647,2019-12-13,Utah,Golden State,True
1648,2019-12-13,Minnesota,LA Clippers,False
1649,2019-12-13,Sacramento,New York,False
1650,2019-12-14,Phoenix,San Antonio,False
1651,2019-12-14,Toronto,Brooklyn,True
1652,2019-12-14,Chicago,LA Clippers,True
1653,2019-12-14,Memphis,Washington,True
1654,2019-12-14,Dallas,Miami,False
1655,2019-12-14,Milwaukee,Cleveland,True
1656,2019-12-14,Denver,Okla City,True
1657,2019-12-14,Houston,Detroit,False
1658,2019-12-15,New Orleans,Orlando,False
1659,2019-12-15,Indiana,Charlotte,True
1660,2019-12-15,Atlanta,LA Lakers,False
1661,2019-12-15,Brooklyn,Philadelphia,True
1662,2019-12-15,Denver,New York,True
1663,2019-12-15,Golden State,Sacramento,False
1664,2019-12-16,Detroit,Washington,False
1665,2019-12-16,Toronto,Cleveland,True
1666,2019-12-16,Houston,San Antonio,True
1667,2019-12-16,Memphis,Miami,True
1668,2019-12-16,Milwaukee,Dallas,False
1669,2019-12-16,Okla City,Chicago,True
1670,2019-12-16,Phoenix,Portland,False
1671,2019-12-17,Charlotte,Sacramento,True
1672,2019-12-17,Indiana,LA Lakers,True
1673,2019-12-17,New York,Atlanta,True
1674,2019-12-17,New Orleans,Brooklyn,False
1675,2019-12-17,Utah,Orlando,True
1676,2019-12-17,LA Clippers,Phoenix,True
1677,2019-12-18,Cleveland,Charlotte,True
1678,2019-12-18,Detroit,Toronto,False
1679,2019-12-18,Philadelphia,Miami,False
1680,2019-12-18,Washington,Chicago,False
1681,2019-12-18,Minnesota,New Orleans,False
1682,2019-12-18,Okla City,Memphis,True
1683,2019-12-18,Denver,Orlando,True
1684,2019-12-18,Dallas,Boston,False
1685,2019-12-18,Portland,Golden State,True
1686,2019-12-19,Atlanta,Utah,False
1687,2019-12-19,Milwaukee,LA Lakers,True
1688,2019-12-19,San Antonio,Brooklyn,True
1689,2019-12-19,LA Clippers,Houston,False
1690,2019-12-20,Cleveland,Memphis,True
1691,2019-12-20,Indiana,Sacramento,True
1692,2019-12-20,Boston,Detroit,True
1693,2019-12-20,Toronto,Washington,True
1694,2019-12-20,Miami,New York,True
1695,2019-12-20,Okla City,Phoenix,True
1696,2019-12-20,Philadelphia,Dallas,False
1697,2019-12-20,Denver,Minnesota,True
1698,2019-12-20,Portland,Orlando,True
1699,2019-12-20,Golden State,New Orleans,True
1700,2019-12-21,Charlotte,Utah,False
1701,2019-12-21,Brooklyn,Atlanta,True
1702,2019-12-21,Detroit,Chicago,False
1703,2019-12-21,Philadelphia,Washington,True
1704,2019-12-21,New York,Milwaukee,False
1705,2019-12-21,Memphis,Sacramento,True
1706,2019-12-21,San Antonio,LA Clippers,False
1707,2019-12-21,Phoenix,Houston,False
1708,2019-12-21,Portland,Minnesota,True
1709,2019-12-22,Toronto,Dallas,True
1710,2019-12-22,Boston,Charlotte,True
1711,2019-12-22,Milwaukee,Indiana,True
1712,2019-12-22,Okla City,LA Clippers,True
1713,2019-12-22,LA Lakers,Denver,False
1714,2019-12-23,Cleveland,Atlanta,True
1715,2019-12-23,Detroit,Philadelphia,False
1716,2019-12-23,Indiana,Toronto,True
1717,2019-12-23,New York,Washington,False
1718,2019-12-23,Orlando,Chicago,True
1719,2019-12-23,Miami,Utah,True
1720,2019-12-23,Memphis,San Antonio,False
1721,2019-12-23,Phoenix,Denver,False
1722,2019-12-23,Portland,New Orleans,False
1723,2019-12-23,Sacramento,Houston,False
1724,2019-12-23,Golden State,Minnesota,True
1725,2019-12-25,Toronto,Boston,False
1726,2019-12-25,Philadelphia,Milwaukee,True
1727,2019-12-25,Golden State,Houston,True
1728,2019-12-25,LA Lakers,LA Clippers,False
1729,2019-12-25,Denver,New Orleans,False
1730,2019-12-26,Detroit,Washington,True
1731,2019-12-26,Brooklyn,New York,False
1732,2019-12-26,Dallas,San Antonio,True
1733,2019-12-26,Okla City,Memphis,False
1734,2019-12-26,Sacramento,Minnesota,False
1735,2019-12-26,Utah,Portland,True
1736,2019-12-27,Boston,Cleveland,True
1737,2019-12-27,Charlotte,Okla City,False
1738,2019-12-27,Orlando,Philadelphia,True
1739,2019-12-27,Atlanta,Milwaukee,False
1740,2019-12-27,Miami,Indiana,True
1741,2019-12-27,Golden State,Phoenix,True
1742,2019-12-28,Denver,Memphis,True
1743,2019-12-28,Boston,Toronto,False
1744,2019-12-28,New Orleans,Indiana,True
1745,2019-12-28,Chicago,Atlanta,True
1746,2019-12-28,Houston,Brooklyn,True
1747,2019-12-28,Miami,Philadelphia,True
1748,2019-12-28,Minnesota,Cleveland,False
1749,2019-12-28,Washington,New York,False
1750,2019-12-28,Golden State,Dallas,False
1751,2019-12-28,Milwaukee,Orlando,True
1752,2019-12-28,San Antonio,Detroit,True
1753,2019-12-28,Sacramento,Phoenix,False
1754,2019-12-28,Portland,LA Lakers,False
1755,2019-12-28,LA Clippers,Utah,False
1756,2019-12-29,Toronto,Okla City,False
1757,2019-12-29,Denver,Sacramento,True
1758,2019-12-29,Memphis,Charlotte,True
1759,2019-12-29,New Orleans,Houston,True
1760,2019-12-29,LA Lakers,Dallas,True
1761,2019-12-30,Orlando,Atlanta,False
1762,2019-12-30,Washington,Miami,True
1763,2019-12-30,Chicago,Milwaukee,False
1764,2019-12-30,Minnesota,Brooklyn,True
1765,2019-12-30,Utah,Detroit,True
1766,2019-12-30,Portland,Phoenix,False
1767,2019-12-31,Charlotte,Boston,False
1768,2019-12-31,Indiana,Philadelphia,True
1769,2019-12-31,Sacramento,LA Clippers,False
1770,2019-12-31,Houston,Denver,True
1771,2019-12-31,San Antonio,Golden State,True
1772,2019-12-31,Toronto,Cleveland,True
1773,2019-12-31,Okla City,Dallas,True
1774,2016-12-01,Charlotte,Dallas,True
1775,2016-12-01,Brooklyn,Milwaukee,False
1776,2016-12-01,Cleveland,LA Clippers,False
1777,2016-12-01,Memphis,Orlando,True
1778,2016-12-01,Utah,Miami,False
1779,2016-12-01,Golden State,Houston,False
1780,2016-12-02,Philadelphia,Orlando,False
1781,2016-12-02,Boston,Sacramento,True
1782,2016-12-02,New York,Minnesota,True
1783,2016-12-02,Toronto,LA Lakers,True
1784,2016-12-02,Atlanta,Detroit,False
1785,2016-12-02,Chicago,Cleveland,True
1786,2016-12-02,New Orleans,LA Clippers,False
1787,2016-12-02,San Antonio,Washington,True
1788,2016-12-02,Denver,Houston,False
1789,2016-12-03,Milwaukee,Brooklyn,True
1790,2016-12-03,Charlotte,Minnesota,False
1791,2016-12-03,Philadelphia,Boston,False
1792,2016-12-03,Toronto,Atlanta,True
1793,2016-12-03,Memphis,LA Lakers,True
1794,2016-12-03,Dallas,Chicago,True
1795,2016-12-03,Utah,Denver,True
1796,2016-12-03,Portland,Miami,True
1797,2016-12-03,Golden State,Phoenix,True
1798,2016-12-04,Detroit,Orlando,False
1799,2016-12-04,Okla City,New Orleans,True
1800,2016-12-04,New York,Sacramento,True
1801,2016-12-04,LA Clippers,Indiana,False
1802,2016-12-05,Philadelphia,Denver,False
1803,2016-12-05,Atlanta,Okla City,False
1804,2016-12-05,Brooklyn,Washington,False
1805,2016-12-05,Toronto,Cleveland,False
1806,2016-12-05,Chicago,Portland,False
1807,2016-12-05,Houston,Boston,True
1808,2016-12-05,Milwaukee,San Antonio,False
1809,2016-12-05,New Orleans,Memphis,False
1810,2016-12-05,Dallas,Charlotte,False
1811,2016-12-05,Golden State,Indiana,True
1812,2016-12-05,LA Lakers,Utah,False
1813,2016-12-06,Washington,Orlando,False
1814,2016-12-06,Detroit,Chicago,True
1815,2016-12-06,Miami,New York,False
1816,2016-12-06,Memphis,Philadelphia,True
1817,2016-12-06,Minnesota,San Antonio,False
1818,2016-12-06,Utah,Phoenix,True
1819,2016-12-07,Charlotte,Detroit,True
1820,2016-12-07,Orlando,Boston,False
1821,2016-12-07,Atlanta,Miami,True
1822,2016-12-07,Brooklyn,Denver,True
1823,2016-12-07,Houston,LA Lakers,True
1824,2016-12-07,Milwaukee,Portland,True
1825,2016-12-07,New York,Cleveland,False
1826,2016-12-07,Dallas,Sacramento,False
1827,2016-12-07,Phoenix,Indiana,False
1828,2016-12-07,LA Clippers,Golden State,False
1829,2016-12-08,Toronto,Minnesota,True
1830,2016-12-08,Washington,Denver,True
1831,2016-12-08,Memphis,Portland,True
1832,2016-12-08,New Orleans,Philadelphia,False
1833,2016-12-08,Utah,Golden State,False
1834,2016-12-08,Chicago,San Antonio,True
1835,2016-12-09,Charlotte,Orlando,True
1836,2016-12-09,Boston,Toronto,False
1837,2016-12-09,Cleveland,Miami,True
1838,2016-12-09,Milwaukee,Atlanta,False
1839,2016-12-09,Minnesota,Detroit,False
1840,2016-12-09,Okla City,Houston,False
1841,2016-12-09,Dallas,Indiana,True
1842,2016-12-09,LA Lakers,Phoenix,False
1843,2016-12-09,Sacramento,New York,False
1844,2016-12-10,Indiana,Portland,True
1845,2016-12-10,Orlando,Denver,False
1846,2016-12-10,Washington,Milwaukee,True
1847,2016-12-10,Cleveland,Charlotte,True
1848,2016-12-10,Chicago,Miami,True
1849,2016-12-10,Houston,Dallas,True
1850,2016-12-10,Memphis,Golden State,True
1851,2016-12-10,San Antonio,Brooklyn,True
1852,2016-12-10,Utah,Sacramento,True
1853,2016-12-10,LA Clippers,New Orleans,True
1854,2016-12-11,Detroit,Philadelphia,False
1855,2016-12-11,Minnesota,Golden State,False
1856,2016-12-11,Okla City,Boston,True
1857,2016-12-11,Phoenix,New Orleans,False
1858,2016-12-11,LA Lakers,New York,False
1859,2016-12-12,Indiana,Charlotte,True
1860,2016-12-12,Miami,Washington,True
1861,2016-12-12,Toronto,Milwaukee,True
1862,2016-12-12,Houston,Brooklyn,True
1863,2016-12-12,Dallas,Denver,True
1864,2016-12-12,LA Clippers,Portland,True
1865,2016-12-12,Sacramento,LA Lakers,True
1866,2016-12-13,Cleveland,Memphis,True
1867,2016-12-13,Atlanta,Orlando,False
1868,2016-12-13,Chicago,Minnesota,False
1869,2016-12-13,New Orleans,Golden State,False
1870,2016-12-13,Phoenix,New York,True
1871,2016-12-13,Portland,Okla City,True
1872,2016-12-14,Miami,Indiana,True
1873,2016-12-14,Orlando,LA Clippers,False
1874,2016-12-14,Philadelphia,Toronto,False
1875,2016-12-14,Washington,Charlotte,True
1876,2016-12-14,Brooklyn,LA Lakers,True
1877,2016-12-14,Houston,Sacramento,True
1878,2016-12-14,Memphis,Cleveland,True
1879,2016-12-14,Dallas,Detroit,False
1880,2016-12-14,Utah,Okla City,True
1881,2016-12-14,San Antonio,Boston,True
1882,2016-12-15,Milwaukee,Chicago,True
1883,2016-12-15,New Orleans,Indiana,True
1884,2016-12-15,Denver,Portland,True
1885,2016-12-15,Phoenix,San Antonio,False
1886,2016-12-15,Golden State,New York,True
1887,2016-12-16,Orlando,Brooklyn,True
1888,2016-12-16,Washington,Detroit,True
1889,2016-12-16,Boston,Charlotte,True
1890,2016-12-16,Toronto,Atlanta,False
1891,2016-12-16,Chicago,Milwaukee,False
1892,2016-12-16,Houston,New Orleans,True
1893,2016-12-16,Memphis,Sacramento,False
1894,2016-12-16,Miami,LA Clippers,False
1895,2016-12-16,Philadelphia,LA Lakers,False
1896,2016-12-16,Utah,Dallas,True
1897,2016-12-17,Okla City,Phoenix,True
1898,2016-12-17,Detroit,Indiana,False
1899,2016-12-17,Atlanta,Charlotte,False
1900,2016-12-17,Cleveland,LA Lakers,True
1901,2016-12-17,Minnesota,Houston,False
1902,2016-12-17,Denver,New York,True
1903,2016-12-17,Golden State,Portland,True
1904,2016-12-18,Washington,LA Clippers,True
1905,2016-12-18,Dallas,Sacramento,True
1906,2016-12-18,Memphis,Utah,False
1907,2016-12-18,Miami,Boston,False
1908,2016-12-18,Orlando,Toronto,False
1909,2016-12-18,Philadelphia,Brooklyn,True
1910,2016-12-18,San Antonio,New Orleans,True
1911,2016-12-19,Indiana,Washington,True
1912,2016-12-19,Chicago,Detroit,True
1913,2016-12-19,Minnesota,Phoenix,True
1914,2016-12-19,Okla City,Atlanta,False
1915,2016-12-19,Denver,Dallas,True
1916,2016-12-20,Charlotte,LA Lakers,True
1917,2016-12-20,Philadelphia,New Orleans,False
1918,2016-12-20,Miami,Orlando,False
1919,2016-12-20,New York,Indiana,True
1920,2016-12-20,Toronto,Brooklyn,True
1921,2016-12-20,Houston,San Antonio,False
1922,2016-12-20,Memphis,Boston,False
